Sore or Watery Eyes,Symptoms Outdoors,Symptoms Time of Year,Breathing Problems around Smoke,Symptoms with Furry Pets,Reaction to Dairy,Reaction to Food,Result,,,,,,,,,,,
No,No,All year,No,No,Yes,No,It appears that you may have a food allergy. There are various degrees of severity in food allergies.,,,,,,,,,,,
Yes,No,All year,No,Yes,Yes,Yes,It appears that you may have a food allergy. There are various degrees of severity in food allergies.,,,,,,,,,,,
Yes,Yes,All year,No,No,No,No,"It looks like you may have allergies pertaining to indoor or outdoor triggers. Given by some of your responses, you may also be allergic to certain kinds of food.",,,,,,,,,,,
Yes,Yes,All year,No,No,No,Yes,"It looks like you may have allergies pertaining to indoor or outdoor triggers. Given by some of your responses, you may also be allergic to certain kinds of food.",,,,,,,,,,,
Yes,Yes,All year,No,Yes,No,Yes,"It looks like you may have allergies pertaining to indoor or outdoor triggers. Given by some of your responses, you may also be allergic to certain kinds of food.",,,,,,,,,,,
Yes,No,All year,Yes,Yes,No,Yes,"You may have a non-pollen related allergy, for example to house dust, pets or mold.",,,,,,,,,,,
Yes,No,All year,No,Yes,No,No,"You may have a non-pollen related allergy, for example to house dust, pets or mold.",,,,,,,,,,,
Yes,No,All year,Yes,No,No,Yes,"You may have a non-pollen related allergy, for example to house dust, pets or mold.",,,,,,,,,,,
No,No,All year,Yes,Yes,No,No,"You may have a non-pollen related allergy, for example to house dust, pets or mold.",,,,,,,,,,,
Yes,No,All year,Yes,No,Yes,No,It appears that you may have a food allergy. There are various degrees of severity in food allergies.,,,,,,,,,,,
No,No,All year,No,Yes,Yes,No,It appears that you may have a food allergy. There are various degrees of severity in food allergies.,,,,,,,,,,,
Yes,Yes,All year,No,Yes,Yes,Yes,It appears that you may have a food allergy. There are various degrees of severity in food allergies.,,,,,,,,,,,
